Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings	Year	Herbarium	Project
Clarkia_cylindrica_cylindrica_LOL_302	781007	166492	0.213	312	294	293	280	225	139	0	9	2016	no	Oenothera
Oenothera_brachycarpa_MJM609	299775	174083	0.581	311	300	300	288	237	145	0	5	2016	no	Oenothera
Oenothera_xylocarpa_LOL_351	1064709	164918	0.155	312	302	301	297	265	181	0	2	2016	no	Oenothera
Clarkia_breweri_LOL_369	357563	35818	0.1	309	231	226	184	112	56	0	3	2016	no	Oenothera
Clarkia_similis_LOL_311	706459	126051	0.178	312	295	292	283	231	136	0	14	2016	no	Oenothera
Eremothera_boothii_desertorum_LOL_191	583390	381745	0.654	313	306	306	301	267	182	0	13	2016	no	Oenothera
Oenothera_pallida_runcinata_MJM838	617918	268318	0.434	312	300	299	288	253	165	0	10	2016	no	Oenothera
Oenothera_organensis_CHIC-19735	655395	422441	0.645	313	307	306	303	279	215	0	6	2016	no	Oenothera
Oenothera_suffrutescens_MJM596	1531763	909947	0.594	282	212	209	180	105	47	1	5	2016	no	Oenothera
Clarkia_rhomboidea_MJM_3176	643977	452810	0.703	311	304	304	297	261	181	8	68	2016	no	Oenothera
Oenothera_grandis_MJM_2967	544035	209342	0.385	315	305	304	298	267	193	0	10	2016	no	Oenothera
Oenothera_laciniata_MJM_2951	798850	205683	0.257	317	307	305	297	251	172	0	8	2016	no	Oenothera
Oenothera_xenogaura_RAL-16-08	468525	116870	0.249	316	276	274	266	212	123	0	2	2016	no	Oenothera
Clarkia_amoena_MB_SAS_002_B	504595	359357	0.712	310	300	300	292	255	160	2	21	2016	no	Oenothera
Chylismia_claviformis_integrior_LOL_195	146078	107423	0.735	310	297	296	274	207	116	0	3	2016	no	Oenothera
Chylismia_parryi_LOL_058	985818	283963	0.288	317	302	302	293	259	172	1	11	2016	no	Oenothera
Oenothera_kunthiana_AP-181	1303185	946429	0.726	311	309	306	303	289	217	0	11	2016	no	Oenothera
Clarkia_dudleyana_LOL_025	930595	273183	0.294	318	304	302	294	255	148	1	17	2016	no	Oenothera
Clarkia_amoena_NV_SAS_007	291983	224390	0.769	308	300	299	290	237	146	2	15	2016	no	Oenothera
Camissoniopsis_bistorta_MJM_3139	605276	443877	0.733	310	305	305	298	270	183	0	20	2016	no	Oenothera
Oenothera_boquillensis_MJM1436	351008	223134	0.636	313	307	307	297	254	168	1	8	2016	no	Oenothera
Oenothera_curtiflora_LOL_121	2603873	2019482	0.776	311	309	308	306	292	228	1	6	2016	no	Oenothera
Camissonia_kernensis_kernensis_LOL_208	569205	67396	0.118	317	280	275	262	208	121	0	10	2016	no	Oenothera
Gayophytum_diffusum_parviflorum_MJM_3144	712059	248097	0.348	314	305	304	296	248	150	0	0	2016	no	Oenothera
Oenothera_hartwegii_pubescens_bjc04	584869	196911	0.337	316	306	303	294	255	185	2	14	2016	no	Oenothera
Chylismia_claviformis_peirsonii_LOL_174	291655	208664	0.715	310	305	303	293	266	177	1	20	2016	no	Oenothera
Fuchsia_MJM1149	954422	243828	0.255	317	278	275	246	157	78	3	6	2016	no	Oenothera
Epilobium_canum_LOL_257	501664	276215	0.551	311	298	298	284	231	115	0	6	2016	no	Oenothera
Oenothera_cinerea_cinerea_RAL-16-09	539625	235041	0.436	315	308	308	302	265	189	2	12	2016	no	Oenothera
Oenothera_cespitosa_crinita_RAR_01-48	390145	80702	0.207	316	270	269	237	143	55	0	0	2016	no	Oenothera
Epilobium_densiflorum_LOL_918	150665	98524	0.654	304	271	271	260	208	97	0	2	2016	no	Oenothera
Camissonia_contorta_LOL_012	455885	315338	0.692	313	301	300	292	257	174	1	35	2016	no	Oenothera
Chylismia_claviformis_lancifolia_LC_032	595596	432433	0.726	310	309	308	300	280	203	0	43	2016	no	Oenothera
Clarkia_springvillensis_LOL_651	325217	223191	0.686	310	300	300	293	253	160	0	22	2016	no	Oenothera
Clarkia_gracilis_gracilis_LOL_321	662142	150293	0.227	313	285	284	274	215	122	2	28	2016	no	Oenothera
Clarkia_lewisii_LOL_647	680591	488660	0.718	309	305	305	298	266	177	2	22	2016	no	Oenothera
Chylismia_scapoidea_brachycarpa_RCB_001	576027	440672	0.765	310	307	304	300	281	203	2	0	2016	no	Oenothera
Oenothera_rosea_MJM_2735	173849	99225	0.571	310	291	291	281	240	156	0	3	2016	no	Oenothera
Eremothera_boothii_decorticans_LOL_026	79015	41824	0.529	307	225	218	167	78	30	0	0	2016	no	Oenothera
Camissonia_pubens_LC_005	491874	390203	0.793	310	305	305	298	265	178	0	47	2016	no	Oenothera
Fuchsia_procumbens_LOL_676	386400	295272	0.764	303	288	285	264	198	88	0	1	2016	no	Oenothera
Clarkia_rostrata_LOL_650	232380	161293	0.694	309	290	289	274	212	110	0	9	2016	no	Oenothera
Clarkia_purpurea_LOL_001	1284763	1003654	0.781	312	306	306	299	263	184	8	57	2016	no	Oenothera
Ludwigia_octovalvis_LOL_573	NA	49782	NA	283	223	184	121	57	15	3	1	2016	no	Oenothera
Lopezia_racemosa_racemosa_MJM_2685	NA	36853	NA	282	218	168	117	55	24	2	1	2016	no	Oenothera
Hauya_elegans_cornuta_LOL_681	199301	60194	0.302	306	209	203	161	77	33	0	0	2016	no	Oenothera
Camissonia_sierrae_alticola_TM_212	460929	356642	0.774	313	303	301	297	257	168	0	0	2016	no	Oenothera
Chylismia_cardiophylla_MJM_3235	293970	21747	0.074	310	153	145	117	76	30	1	0	2016	no	Oenothera
Oenothera_acaulis_AP-183	928652	283473	0.305	315	308	306	302	277	208	0	5	2016	no	Oenothera
Chamerion_angustifolium_angustifolium_JLMC7783	1464658	212218	0.145	315	300	299	280	221	103	0	4	2016	no	Oenothera
Chylismiella_pterosperma_LOL_568	926206	206427	0.223	315	301	299	288	249	163	1	9	2016	no	Oenothera
Oenothera_nealleyi_MJM_2997	610585	374239	0.613	312	308	307	304	275	191	1	15	2016	no	Oenothera
Oenothera_macrocarpa_fremontii_LOL_827	923680	700185	0.758	312	309	308	305	283	208	1	5	2016	no	Oenothera
Camissoniopsis_luciae_TM_203	325992	184962	0.567	309	302	301	292	256	157	0	1	2016	no	Oenothera
